Job Title,Company Name,Job City,Job Experience,Job Salary,Job Description,Concerned Job Function,Concerned Industry,Concerned Specialization,Concerned Qualification,Concerned Employment Type,Key Skills,Related Company,Related Website,Related Industry,Related Company Turnover,Related Company Size
Python Developer,AHOM Technologies Private Limited,Gurgaon,0 - 3 Years,Not disclosed,"We are hiring for python developers. Ideal candidate should have : Strong understanding of Python Web frameworks: Django
Web servers: Apache / Nginx
Data Stores: MySQL / PostgreSQL.
Working Knowledge of object-relational mapping (ORM).
Knowledge in No-SQL like MongoDB will be an added advantage.
Familiarity with front-end technologies (like JavaScript, JQuery and HTML5).
Good problem-solving skills.
Projects on RPA/AI/ML will be an advantage.
Working knowledge of Rest APIs and micro services.
Good understanding of database management systems.
Experience developing and maintaining systems.
Attention to detail and code quality.
Strong communication skills and an ability to convey ideas and concepts with clarity.",IT Software ; Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,Any Graduate,Full Time,"['rest', 'python', 'html5', 'javascript', 'jquery', 'sql', 'database management', 'django', 'apache', 'postgresql', 'mysql', 'mongodb']",AHOM Technologies Private Limited,https://www.ahomtech.com/,"Technology (IT, Telecom, Dot Com etc) (Other Technology Services)",,
Project Manager,Aziels Technologies Pvt Ltd,Gurgaon,0 - 3 Years,Not disclosed,"We are looking for a Project Manager who have prior experience in managing multiple projects primarily of mobile app development and web development. He will be responsible for delivering next generation mobile and web solutions within deadline. He will also be responsible for defining the project objectives and providing day-to-day Coordination to ensure quality control throughout the projects life cycle. Job Responsibilities:
Develops individual group project plans (project work scope, task descriptions, budget estimates and manpower requirements) to meet objectives and commitments.
Develops, maintains, and monitors master project schedule.
Defines and implements project standards and processes for structuring all Mobile Application projects, including process/documentation evaluation and improvement.
Tracks projected vs actual project performance and informs management of accomplishments and major problem areas as well as budget & schedule status.
Develops and executes enterprise-wide communication plan as related to milestones via status reports, and presentations suitable for all levels of management and staff.
Conducts post implementation project reviews to evaluate sustaining support and document lessons learned.
Provide leadership and creativity around innovation in service models, user interface and mobile customer experience
Work with the platform team to define needs and APIs that will provide the best integrated experience",IT Software ; Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,Any Graduate,Full Time,"['python', 'mobile', 'web development']",Aziels Technologies Pvt Ltd,http://www.aziels.com/,"Technology (IT, Telecom, Dot Com etc) (Other Technology Services)",,
Data Science Intern,Analytics Vidhya,Gurgaon,0 - 1 Years,Not disclosed,"Details:
Analytics Vidhya is a leading knowledge portal for analytics in India. It is India's most vibrant and active data science community.
About You
Experience making data presentations with graphical or data visualization tools.
Must have independently built or as part of a team effort built specific models from data sets achieving specific objective metrics.
Should understand error metrics, hypothesis design, sampling and basic intuitive understanding of algorithms along with shortcomings/assumptions.
Min. Qualification:
Undergrad in Engineering along with strong keen interest in statistics, data science.
Skills Required Python or R, Data visualization tools, Predictive modelling Roles.
Skills Required: Python, Machine Learning
Roles:
Work alongside the data science team on real-life industry projects which require a mix of coding, machine learning/deep learning concepts, etc.
Democratize data science knowledge by creating awesome content on cutting edge ML/DL technologies and share the learning with the community.
Research on state of the art techniques from open source and top journals and convert to easy-to-digest articles catering to a broader audience
Develop, maintain content and provide support for MOOCs at AVs training platform on various topics such as data science, computer vision, machine learning, NLP, etc.
Skills required
Mandatory Skill: Python, Machine Learning, Good Communication
Optional Skill: Deep Learning, NLP",IT Software ; Software Products & Services,"Educational/Training,  Research/Surveyor/MR",Software Engineer,Any Graduate,Full Time,"['algorithms', 'python', 'machine learning']",Analytics Vidhya,http://www.analyticsvidhya.com,"Education, Training Institutes & Academic Research (Other Education, Training Institutes & Academic Research)",,
Trainee Application Operations Engineer,right infotech solutions pvt. ltd,Delhi,0 - 3 Years,Not disclosed,"Trainee Application Operations Engineer India
Job Description
1) Monitor SaaS applications, databases, and servers.
2) Attend to the application issues and resolve them based on the runbook.
3) Work in support shifts and interface with IT team in USA for escalations.
4) Develop scripts to manage the systems.
Requirements
1) First class B.Tech. in Computer Science or MCA with strong academic record.
2) Experience in the management of SaaS applications.
3) SQL and Unix shell programming.
4) Experience with Java, Python, Apache, Jboss, Nagios and such technologies will be a plus.
5) Experience with cloud technologies such as Amazon Web Services will be plus.
6) Fluent English speaking and writing skills.",IT Software ; Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,"MCA/ PGDCA 
                     
                     
                  
 
                    BE/ B.Tech (Engineering)",Full Time,"['python', 'sql', 'java', 'apache', 'unix shell programming']",right infotech solutions pvt. ltd,http://www.rightinfotech.in,"Technology (IT, Telecom, Dot Com etc) (Other Technology Services)",,
B.Tech. Computer Science and MCA Interns,right infotech solutions pvt. ltd,Delhi,0 - 3 Years,Not disclosed,"B.Tech. Computer Science and MCA Interns India
Requirements
1) First class B.Tech. in Computer Science or MCA with strong academic record.
2) Experience with Java, Python, Apache, Jboss, Nagios and such technologies will be a plus.
3) Experience with iOS or Android mobile programming will be a plus.
4) SQL and Unix shell programming.
5) Desire to develop and manage SaaS and mobile applications.
6) Desire to work in cloud technologies such as Amazon Web Services.
7) Fluent English speaking and writing skills.",IT Software ; Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,"MCA/ PGDCA 
                     
                     
                  
 
                    BE/ B.Tech (Engineering)",Full Time,"['python', 'mobile', 'sql', 'java', 'apache', 'unix shell programming']",right infotech solutions pvt. ltd,http://www.rightinfotech.in,"Technology (IT, Telecom, Dot Com etc) (Other Technology Services)",,
Senior MySQL Database Administrator,right infotech solutions pvt. ltd,Delhi,0 - 3 Years,Not disclosed,"Senior MySQL Database Administrator India
Job Description
1) Manage and monitor MySQL databases and production SaaS applications in Amazon cloud infrastructure.
2) Automate the deployment and management of Amazon cloud services.
Requirements
1) First class B.Tech. In Computer Science or MCA with strong academic record.
2) Must have experience with Amazon cloud services such as EC2 and S3.
3) Must have strong MySQL DBA skills on Linux platform.
4) Experience with Java, Python, Apache, Jboss, Nagios and such technologies will be a plus.
5) Fluent English speaking and writing skills.",IT Software ; Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,"MCA/ PGDCA 
                     
                     
                  
 
                    BE/ B.Tech (Engineering)",Full Time,"['cloud services', 'python', 'java', 'apache', 'infrastructure', 'linux', 'mysql']",right infotech solutions pvt. ltd,http://www.rightinfotech.in,"Technology (IT, Telecom, Dot Com etc) (Other Technology Services)",,
Trainee Applications Development Engineer,right infotech solutions pvt. ltd,Delhi,0 - 3 Years,Not disclosed,"Trainee Applications Development Engineer India
Job Description
1) Develop and maintain Web applications using HTML5, JavaScript, and CSS technologies.
2) Develop and maintain iOS or Android mobile applications for iPhone, Android phones, and tablets.
3) Deployment and management of the applications with the application stores.
Requirements
1) First class B.Tech. in Computer Science or MCA with strong academic record.
2) Experience with HTML5, Java, JavaScript, and MySQL databases on Linux platform.
3) Experience in iOS or Android programming.
4) Experience with Java, Python, Apache, Jboss, Nagios and such technologies will be a plus.
5) Fluent English speaking and writing skills.",IT Software ; Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,"MCA/ PGDCA 
                     
                     
                  
 
                    BE/ B.Tech (Engineering)",Full Time,"['css', 'python', 'html5', 'javascript', 'java', 'apache', 'linux', 'mysql']",right infotech solutions pvt. ltd,http://www.rightinfotech.in,"Technology (IT, Telecom, Dot Com etc) (Other Technology Services)",,
Hiring For ECT-NLP,krazy mantra hr solutions,Gurgaon,0 - 5 Years,Not disclosed,"Hiring For ECT-NLP
:
Hiring For ECT-NLP
Desired Profile
Skills: NLP/NLU (BERT, LLM/GenAI), Python, Machine Learning & Deep Learning, Azure MLOps, Feature Engineering, Data Cleansing, Deep Learning
Notice Period: 0-30 days
Education:
BE, B.tech, ME, M.Tech
Location:
Gurgaon, Bangalore
Email:
career@krazymantra.com",IT Software ; Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,"ME/ M.Tech./ MS (Engg/ Sciences) 
                     
                     
                  
 
                    BE/ B.Tech (Engineering)",Full Time,"['nlp/nlu', 'python', 'machine learning', 'azure mlops', 'feature engineering']",krazy mantra hr solutions,https://www.krazymantra.com/career.php,"Technology (IT, Telecom, Dot Com etc) (Other Technology Services)",,
Salesforce Admin,cloud analogy softech pvt ltd,Noida/Greater Noida,0 - 3 Years,Not disclosed,"Any Certification in Data Science/Analytics
Writing comprehensive reports
Strong verbal and written communication skills
Job Description
Filter and clean data by reviewing reports and performance indicators
Prioritize business and information needs
Define new process improvement opportunities
Strong knowledge of SQL, programming (R, Python, Scala, Spark etc)",IT Software ; Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,Any Graduate,Full Time,"['python', 'information management', 'scala', 'sql', 'salesforce', 'written communication']",cloud analogy softech pvt ltd,https://www.cloudanalogy.com/,"Technology (IT, Telecom, Dot Com etc) (Other Technology Services)",,
Senior Salesforce Developer,cloud analogy softech pvt ltd,Noida/Greater Noida,0 - 3 Years,Not disclosed,"Senior Salesforce Developer Bachelor degree in Mathematics, Computer Science, Information Management or Statistics
Any Certification in Data Science/Analytics
Writing comprehensive reports
Strong verbal and written communication skills
Job Description
Filter and clean data by reviewing reports and performance indicators
Prioritize business and information needs
Define new process improvement opportunities
Strong knowledge of SQL, programming (R, Python, Scala, Spark etc)",IT Software ; Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,Any Graduate,Full Time,"['python', 'information management', 'scala', 'sql', 'written communication', 'salesforce developer']",cloud analogy softech pvt ltd,https://www.cloudanalogy.com/,"Technology (IT, Telecom, Dot Com etc) (Other Technology Services)",,
